SJQ_20150616_HC_31.eaf	a49	ntqoᴱ ngyaᴶ skaᴬ tqwaᴬ tyqaᴬ janqꟲ ndywiqᴶ	ntqo ngya ska tqwa tyqa janq ndywiq	˜they took off to a water then they say
SJQ_20150616_HC_31.eaf	a2	tqwaᴬ tyqaᴬ janqꟲ ndywiqᴶ	tqwa tyqa janq ndywiq	to a water then, he said
SJQ_20150616_HC_31.eaf	a3	kanqᴳ ndywiqᴶ tqwaᴬ tyqaᴬ janqᴳ qoᴱ	kanq ndywiq tqwa tyqa janq qo	that is why the water said to him
SJQ_20150616_HC_31.eaf	a4	janᴱ noᴱ waꟲ ndyaᴵ tqwaᴬ tyqaᴬ janqᴳ	jan no wa ndya tqwa tyqa janq	when they reach the water
SJQ_20150616_HC_31.eaf	a5	qoᴱ naꟳ chaqꟳ	qo na chaq	and it was because
SJQ_20150616_HC_31.eaf	a6	waꟲ jlyoꟲ riqꟲ konᴮ janqᴳ chaqꟳ noꟳ waꟲ jlyaꟲ janqꟲ ndywiqꟳ	wa jlyo riq kon janq chaq no wa jlya janq ndywiq	the turtle knew that we was going to be set free then, he said
SJQ_20150616_HC_31.eaf	a7	qoᴱ jaᴱ noᴱ waꟲ ndyaᴵ tqwaᴬ tyqaᴵ janqᴳ kanqᴳ noᴬ ndywiqᴬ konᴮ janqᴳ qoᴱ janqᴳ ndywiqᴶ	qo ja no wa ndya tqwa tyqa janq kanq no ndywiq kon janq qo janq ndywiq	and when they got the water, the turtle said to the tiger then, he said
SJQ_20150616_HC_31.eaf	a8	jaᴱ noᴱ ndyaᴵ tiᴬ tqwaᴬ tyqaᴵ kanqᴳ noᴬ ndyaᴵ ndwaᴵ skwaꟳ	ja no ndya ti tqwa tyqa kanq no ndya ndwa skwa	when they arrived to the water he (the turtle) lay down
SJQ_20150616_HC_31.eaf	a9	ndyaᴵ skwaꟳ skaᴵ loᴬ keᴵ janqꟲ ndywiqᴶ	ndya skwa ska lo ke janq ndywiq	he came to lie down on a rock, they said
SJQ_20150616_HC_31.eaf	a10	jaᴱ noᴱ waꟲ skwaꟳ loᴬ keᴵ janqᴳ janqꟲ ndywiqᴶ	ja no wa skwa lo ke janq janq ndywiq	when she was lying down on the rock he said
SJQ_20150616_HC_31.eaf	a11	ndywiqᴵ qoᴱ konᴮ janqᴳ janqꟲ ndywiqᴶ	ndywiq qo kon janq janq ndywiq	said to the turtle, then he said
SJQ_20150616_HC_31.eaf	a12	kwanꟲ qaᴱ qneᴶ yaqᴱ	kwan qa qne yaq	lift your hands up high
SJQ_20150616_HC_31.eaf	a13	kqonᴱ qnyaᴶ chaqꟳ noᴶ	kqon qnya chaq no	to hit me so that
SJQ_20150616_HC_31.eaf	a14	kiꟲ renqꟲ tqiᴳ ndywiqᴬ	ki renq tqi ndywiq	to feel the pain said
SJQ_20150616_HC_31.eaf	a15	ndywiqᴬ qoᴱ kchiꟳ janqᴳ janqꟲ ndywiqᴶ	ndywiq qo kchi janq janq ndywiq	the turtle said to the tiger, they say
SJQ_20150616_HC_31.eaf	a16	qaᴬ saᴬ kwanꟲ qneᴳ yaqꟲ kchiꟳ janqᴳ	qa sa kwan qne yaq kchi janq	the tiger lifted his hands really high
SJQ_20150616_HC_31.eaf	a17	yqonꟳ qinᴶ janqꟲ ndywiqᴶ	yqon qin janq ndywiq	the tiger hit the turtle they say then
SJQ_20150616_HC_31.eaf	a18	yqonꟳ kchiꟳ janqᴳ loᴬ	yqon kchi janq lo	the tiger hit the
SJQ_20150616_HC_31.eaf	a19	loᴬ keᴵ	lo ke	the rock
SJQ_20150616_HC_31.eaf	a20	toqᴶ yqonꟳ kchiꟳ janqᴳ loᴬ keᴵ	toq yqon kchi janq lo ke	the tiger hit on the rock
SJQ_20150616_HC_31.eaf	a21	laᴱ	la	open
SJQ_20150616_HC_31.eaf	a22	laᴱ xtuᴱ	la xtu	it fell
SJQ_20150616_HC_31.eaf	a23	laꟲ xtuꟲ loᴱ ykwiqᴵ janqꟲ inꟲ loᴬ tyqaᴵ janqᴳ janqꟲ ndywiqᴶ	la xtu lo ykwiq janq in lo tyqa janq janq ndywiq	he (the turtle) threw himself into the water, they say
SJQ_20150616_HC_31.eaf	a24	jenꟲ ngyaᴱ	jen ngya	they went by
SJQ_20150616_HC_32.eaf	a11	 ̃	˜	recording
SJQ_20150616_HC_32.eaf	a1	_	_	This is the recording of
SJQ_20150616_HC_32.eaf	a2	_	_	the mantis story
SJQ_20150616_HC_32.eaf	a3	kwen ntuᴱ qin	kwen-ntu qin	the story of
SJQ_20150616_HC_32.eaf	a4	ykaᴬ tiꟳ ntaꟲ	yka ti-nta	the mantis
SJQ_20150616_HC_32.eaf	a5	kwen ntuᴱ qin ykaᴬ	kwen-ntu qin yka	the story of the mantis
SJQ_20150616_HC_33.eaf	a1	kwenꟳ tuᴱ qinᴱ ykaᴬ tiꟳ ntaᴱ	Kwen tu qin yka ti nta	the mantis story
SJQ_20150616_HC_33.eaf	a2	jlyaᴵ renqꟲ qwanᴱ niyan ndywiqᴵ renq qoᴱ kanqᴳ	jlya renq qwan niyan ndywiq renq qo kanq	Ĩ forgot how do they call that
SJQ_20150616_HC_33.eaf	a3	ykaᴬ tiꟳ	yka ti	˜mantis
SJQ_20150616_HC_33.eaf	a4	ntaᴱ ndywiq renqᴶ qoᴱ	nta ndywiq renq qo	˜mantis they call it
SJQ_20150616_HC_33.eaf	a5	qoᴱ janqᴳ	qo janq	˜to that
SJQ_20150616_HC_33.eaf	a6	qwanᴱ niyan ndywiqᴵ renq qoᴱ ranꟳ	qwan niyan ndywiq renq qo ran	˜how do they call it
SJQ_20150616_HC_33.eaf	a7	ykaᴬ tiꟳ ntaᴱ ndywiq renqᴶ qoᴱ	yka ti nta ndywiq renq qo	˜great mantis they call it
SJQ_20150616_HC_33.eaf	a24	 ̃qoᴱ qinᴶ	˜qo qin	˜to it
SJQ_20150616_HC_33.eaf	a9	ykaᴬ tiꟳ ntaᴱ ndywiq renqᴶ qoᴱ qinᴶ	yka ti nta ndywiq renq qo qin	˜they call it the great mantis
SJQ_20150616_HC_33.eaf	a10	ntyqyaᴶ qaᴱ ntyqanᴶ qneᴵ nkaᴶ qinᴵ	ntyqya qa ntyqan qne nka qin	ĩt is a beautiful animal
SJQ_20150616_HC_33.eaf	a11	qneᴬ tkwenq qaᴱ stanqᴶ qinᴶ	qne tkwenq qa stanq qin	ãnimal, it has really long nails
SJQ_20150616_HC_33.eaf	a12	qoᴱ chaqꟳ nkaᴶ noᴵ	qo chaq nka no	ãnd because
SJQ_20150616_HC_33.eaf	a13	ndywiqᴶ renqᴶ	ndywiq renq	˜they say
SJQ_20150616_HC_33.eaf	a14	qoᴱ qinᴶ	qo qin	˜to it
SJQ_20150616_HC_33.eaf	a15	kwanꟲ nyaᴶ ntyqanᴵ	kwan nya ntyqan	˜thus the ways it goes
SJQ_20150616_HC_33.eaf	a16	qanᴱanꟲ chaqꟳ noᴶ	qanan chaq no	˜because
SJQ_20150616_HC_33.eaf	a17	ngonᴮ sneq renq	ngon+ sneq renq	˜they spit
SJQ_20150616_HC_33.eaf	a18	tloᴱ	tlo	˜face
SJQ_20150616_HC_33.eaf	a19	qinᴬ janqꟲ pero	qin janq, pero	˜to it here, but
SJQ_20150616_HC_33.eaf	a20	peᴬroᴬ jlyuꟲ qinᴱ xtyanꟲanᴵ chaqꟳ	pero jlyu qin xtyanan chaq	Let's say that it is a very big animal
SJQ_20150616_HC_33.eaf	a21	tiꟲ ykaᴱ	ti yka	˜stick
SJQ_20150616_HC_33.eaf	a22	tiꟲ ykaꟲ	ti yka	˜stick
